date_time,temp,rain_1h,clouds_all,traffic_volume
2025-01-01 00:00:00,-8.69,1.25,88,394
2025-01-01 01:00:00,-12.72,0.91,57,477
2025-01-01 02:00:00,-7.35,0.0,52,894
2025-01-01 03:00:00,-6.78,0.0,38,584
2025-01-01 04:00:00,-15.45,0.0,66,801
2025-01-01 05:00:00,-13.51,0.9,51,1029
2025-01-01 06:00:00,-9.22,0.43,72,1493
2025-01-01 07:00:00,-10.55,0.0,91,1732
2025-01-01 08:00:00,-9.65,0.0,32,1941
2025-01-01 09:00:00,-12.16,0.0,66,2040
2025-01-01 10:00:00,-6.96,2.31,65,1137
2025-01-01 11:00:00,-7.27,0.0,62,999
2025-01-01 12:00:00,-9.4,0.03,40,912
2025-01-01 13:00:00,-6.22,0.0,40,1048
2025-01-01 14:00:00,-8.2,0.24,36,1530
2025-01-01 15:00:00,-12.18,0.0,35,1640
2025-01-01 16:00:00,-8.5,0.0,30,2175
2025-01-01 17:00:00,-12.48,0.16,48,2060
2025-01-01 18:00:00,-6.97,0.0,32,1974
2025-01-01 19:00:00,-9.75,1.05,61,1691
2025-01-01 20:00:00,-10.16,0.0,52,1260
2025-01-01 21:00:00,-11.64,0.82,55,897
2025-01-01 22:00:00,-5.93,6.4,44,262
2025-01-01 23:00:00,-10.06,0.0,52,802
2025-01-02 00:00:00,-10.82,0.0,45,604
2025-01-02 01:00:00,-10.59,0.0,71,438
2025-01-02 02:00:00,-7.94,1.97,40,527
2025-01-02 03:00:00,-8.44,1.51,60,479
2025-01-02 04:00:00,-8.3,0.0,18,976
2025-01-02 05:00:00,-8.24,0.0,69,1068
2025-01-02 06:00:00,-3.11,0.0,37,1548
2025-01-02 07:00:00,-10.75,0.0,28,1886
2025-01-02 08:00:00,-11.07,0.0,23,2079
2025-01-02 09:00:00,-11.98,0.0,21,2018
2025-01-02 10:00:00,-7.69,0.0,39,1635
2025-01-02 11:00:00,-6.15,0.0,88,1412
2025-01-02 12:00:00,-9.88,2.01,35,693
2025-01-02 13:00:00,-12.05,0.98,0,933
2025-01-02 14:00:00,-12.01,0.01,60,1282
2025-01-02 15:00:00,-7.58,0.97,23,1734
2025-01-02 16:00:00,-7.3,1.96,71,1849
2025-01-02 17:00:00,-7.9,0.64,41,2212
2025-01-02 18:00:00,-11.53,0.0,44,1793
2025-01-02 19:00:00,-8.84,0.0,81,1815
2025-01-02 20:00:00,-9.18,0.0,66,1330
2025-01-02 21:00:00,-8.88,0.0,20,1023
2025-01-02 22:00:00,-6.92,0.14,24,937
2025-01-02 23:00:00,-8.86,0.0,6,1049
2025-01-03 00:00:00,-7.42,0.18,100,682
2025-01-03 01:00:00,-9.26,0.0,30,584
2025-01-03 02:00:00,-8.59,0.0,81,506
2025-01-03 03:00:00,-7.57,0.85,38,545
2025-01-03 04:00:00,-13.83,0.0,25,774
2025-01-03 05:00:00,-10.42,0.0,52,1139
2025-01-03 06:00:00,-10.87,0.0,43,1361
2025-01-03 07:00:00,-11.38,0.0,72,1768
2025-01-03 08:00:00,-10.29,0.0,72,2198
2025-01-03 09:00:00,-4.98,0.0,37,2220
2025-01-03 10:00:00,-12.06,0.29,16,1739
2025-01-03 11:00:00,-6.56,0.34,22,955
2025-01-03 12:00:00,-14.51,0.0,0,1149
2025-01-03 13:00:00,-10.47,0.0,45,1092
2025-01-03 14:00:00,-8.97,0.0,51,1381
2025-01-03 15:00:00,-7.7,0.0,23,1913
2025-01-03 16:00:00,-7.33,1.06,20,2018
2025-01-03 17:00:00,-7.08,0.0,51,1830
2025-01-03 18:00:00,-10.51,1.11,36,1748
2025-01-03 19:00:00,-10.85,3.15,46,1245
2025-01-03 20:00:00,-6.89,0.0,42,1233
2025-01-03 21:00:00,-10.04,0.0,58,1199
2025-01-03 22:00:00,-13.29,0.05,37,1054
2025-01-03 23:00:00,-12.86,0.36,39,709
2025-01-04 00:00:00,-12.14,0.0,5,496
2025-01-04 01:00:00,-7.89,0.2,51,402
2025-01-04 02:00:00,-8.96,0.0,54,427
2025-01-04 03:00:00,-7.31,0.0,48,638
2025-01-04 04:00:00,-10.67,2.59,100,50
2025-01-04 05:00:00,-8.91,0.13,56,750
2025-01-04 06:00:00,-7.51,0.29,48,960
2025-01-04 07:00:00,-10.31,0.0,65,1072
2025-01-04 08:00:00,-8.01,0.0,100,1173
2025-01-04 09:00:00,-11.37,0.0,58,1425
2025-01-04 10:00:00,-10.47,3.8,0,404
2025-01-04 11:00:00,-10.53,1.92,63,407
2025-01-04 12:00:00,-12.97,0.0,30,744
2025-01-04 13:00:00,-7.92,0.0,4,597
2025-01-04 14:00:00,-10.79,1.25,95,528
2025-01-04 15:00:00,-9.35,0.0,89,1000
2025-01-04 16:00:00,-7.94,0.0,29,1373
2025-01-04 17:00:00,-8.04,0.0,30,1373
2025-01-04 18:00:00,-7.39,0.0,56,1145
2025-01-04 19:00:00,-9.68,0.14,30,1154
2025-01-04 20:00:00,-10.65,0.0,49,822
2025-01-04 21:00:00,-9.62,0.0,34,776
2025-01-04 22:00:00,-14.45,0.0,42,599
2025-01-04 23:00:00,-13.72,0.0,17,250
2025-01-05 00:00:00,-13.27,4.79,73,50
2025-01-05 01:00:00,-12.29,4.94,83,50
2025-01-05 02:00:00,-8.1,0.0,50,550
2025-01-05 03:00:00,-12.02,0.08,52,463
